CAS,SMILES,Solubility
60-35-5,CC(N)=O,1.58
60-34-4,CNN,1.34
64-19-7,CC(O)=O,1.22
123-75-1,C1CCCN1,1.15
127-07-1,NC([NH]O)=O,1.12
56-81-5,OC(CO)CO,1.12
127-19-5,CC(N(C)C)=O,1.11
289-80-5,c1cccnn1,1.1
289-95-2,c1ccncn1,1.1
50-70-4,OC(CO)C(O)C(O)C(O)CO,1.09
541-48-0,CC(N)CC(O)=O,1.08
110-85-0,C1CNCCN1,1.07
110-89-4,C1CCCCN1,1.07
626-64-2,Oc1ccncc1,1.02
72762-00-6,Oc1ncccc1,1.02
110-94-1,OC(CCCC(O)=O)=O,1
109-02-4,CN1CCOCC1,1
598-55-0,NC(OC)=O,0.97
694-85-9,O=C(C=CC=C1)N1C,0.96
79-11-8,OC(CCl)=O,0.93
51-79-6,NC(OCC)=O,0.85
63-75-2,O=C(C1=CCCN(C)C1)OC,0.81
108-46-3,Oc1cc(O)ccc1,0.81
110-86-1,c1cnccc1,0.76
109-07-9,CC1CNCCN1,0.74
@57-48-7,O1CC(O)C(O)C(O)C1(O)CO,0.64
120-80-9,Oc1c(O)cccc1,0.62
98-92-0,NC(c1cccnc1)=O,0.61
51953-17-4,O=C1NC=NC=C1,0.59
123-38-6,CCC=O,0.58
107-31-3,C(OC)=O,0.58
107-02-8,C=CC=O,0.57
109-99-9,C1CCOC1,0.56
78-93-3,CC(CC)=O,0.52
106-55-8,CC1NCC(C)NC1,0.49
109-87-5,COCOC,0.48
108-48-5,Cc1nc(C)ccc1,0.45
589-93-5,Cc1ccc(C)nc1,0.4
87-72-9,OC1COC(O)C(O)C1O,0.39
108-47-4,Cc1cc(C)ncc1,0.38
583-61-9,Cc(cccn1)c1C,0.38
485-35-8,O=C1N(CC3CNCC2C3)C2=CC=C1,0.36
643-12-9,OC1C(O)C(O)C(O)C(O)C1O,0.35
4170-30-3,CC=CC=O,0.32
80-60-4,CCC(C(O)=O)N,0.31
123-56-8,O=C(CC1)NC1=O,0.3
79-31-2,CC(C)C(O)=O,0.28
626-67-5,CN1CCCCC1,0.23
123-54-6,CC(CC(C)=O)=O,0.22
109-94-4,C(OCC)=O,0.15
107-13-1,C=CC#N,0.15
96-47-9,CC1CCCO1,0.11
4248-19-5,CC(C)(C)OC(N)=O,0.1
75-85-4,CCC(C)(O)C,0.08
100-63-0,NNc1ccccc1,0.07
78-83-1,CC(C)CO,0.04
597-35-3,O=S(CC)(CC)=O,0.04
91-18-9,c12nccnc1ncnc2,0.02
54-85-3,O=C(c1ccncc1)NN,0.01
108-95-2,Oc1ccccc1,0
123-72-8,CCCC=O,-0.01
481-37-8,CN1C2CCC1C(C(O)=O)C(O)C2,-0.02
142-68-7,C1CCOCC1,-0.03
15414-82-1,CCC1NC(=O)NC1(=O),-0.06
10004-44-1,Cc1cc(O)no1,-0.07
72-19-5,NC(C(O)=O)C(O)C,-0.09
60-29-7,CCOCC,-0.09
98-01-1,C(c1ccco1)=O,-0.1
2432-20-4,Cc1nc(nccn2)c2cn1,-0.12
52-67-5,NC(C(O)=O)C(C)(S)C,-0.13
121-44-8,CCN(CC)CC,-0.14
109-97-7,c1ccc[nH]1,-0.17
488-73-3,OC1C(O)C(O)CC(O)C1O,-0.17
479-18-5,OC(CO)Cn(cn1)c(C(N2C)=O)c1N(C2=O)C,-0.17
100-75-4,O=NN1CCCCC1,-0.17
107-87-9,CC(CCC)=O,-0.19
107-92-6,OC(CCC)=O,-0.19
1596-84-5,CN(NC(CCC(O)=O)=O)C,-0.2
110-15-6,OC(CCC(O)=O)=O,-0.2
598-75-4,CC(C)C(O)C,-0.2
96-33-3,O=C(OC)C=C,-0.22
584-02-1,CCC(O)CC,-0.24
145-73-3,O=C(C(C2OC1CC2)C1C(O)=O)O,-0.27
6032-29-7,CC(O)CCC,-0.29
2385-74-2,OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,-0.29
542-76-7,ClCCC#N,-0.29
90-01-7,Oc1c(CO)cccc1,-0.29
2114-15-0,NC(OCC(C)C)=O,-0.3
461-58-5,NC(=NC(#N))N,-0.31
77-74-7,CC(CC)(O)CC,-0.38
106-50-3,Nc1ccc(N)cc1,-0.38
557-17-5,COCCC,-0.39
19550-30-2,OCC(C)C(C)C,-0.39
100-51-6,OCc1ccccc1,-0.4
63-68-3,OC(C(N)CCSC)=O,-0.42
95-54-5,Nc(cccc1)c1N,-0.42
299-42-3,OC(C(C)NC)c1ccccc1,-0.42
108-93-0,OC1CCCCC1,-0.44
1/4/96,CC(CC1CCCCN1)=O,-0.45
109-00-2,Oc1cccnc1,-0.46
93-60-7,O=C(c1cccnc1)OC,-0.46
2432-21-5,Cc1ncnc2c1nccn2,-0.47
7568-93-6,NCC(O)c1ccccc1,-0.48
51-34-3,O=C(C(CO)c3ccccc3)OC2CC1C(O4)C4C(C2)N1C,-0.48
110-74-7,O=COCCC,-0.49
37517-28-5,NCCC(C(NC2CC(C(C(C2OC3OC(C(C(C3O)N)O)CO)O)OC1OC(C(C(C1O)O)O)CN)N)=O)O,-0.5
624-95-3,OCCC(C)(C)C,-0.5
71-00-1,n1c(c[nH]c1)CC(N)C(O)=O,-0.53
94-96-2,CCCC(O)C(CC)CO,-0.54
56-85-9,OC(C(N)CCC(N)=O)=O,-0.55
75-56-9,CC1CO1,-0.59
108-94-1,O=C1CCCCC1,-0.6
102-76-1,CC(OCC(OC(C)=O)COC(C)=O)=O,-0.6
464-07-3,CC(C)(C)C(O)C,-0.62
58-15-1,O=C1N(c2ccccc2)N(C)C(C)=C1N(C)C,-0.63
75-09-2,C(Cl)(Cl),-0.63
592-35-8,NC(OCCCC)=O,-0.66
628-32-0,CCOCCC,-0.66
105-37-3,O=C(CC)OCC,-0.66
108-39-4,Oc1cccc(C)c1,-0.68
103-70-8,O=CNc1ccccc1,-0.68
106-48-9,Oc1ccc(Cl)cc1,-0.7
108-43-0,Oc1cccc(Cl)c1,-0.7
106-44-5,Oc1ccc(C)cc1,-0.7
565-67-3,CC(C)C(O)CC,-0.7
122-99-6,OCCOc1ccccc1,-0.71
565-60-6,CC(O)C(C)CC,-0.72
109-60-4,CC(OCCC)=O,-0.72
594-83-2,CC(C)(O)C(C)(C)C,-0.72
95-55-6,Nc(cccc1)c1O,-0.72
120-07-0,OCCN(c1ccccc1)CCO,-0.73
140-88-5,O=C(C=C)OCC,-0.74
100-02-7,Oc1ccc(N(=O)=O)cc1,-0.74
100-65-2,O[NH]c1ccccc1,-0.74
70-47-3,NC(CC(N)C(O)=O)=O,-0.74
29883-15-6,N#CC(c1ccccc1)OC(C(C(O)C2O)O)OC2COC(C(C(O)C3O)O)OC3CO,-0.77
629-14-1,CCOCCOCC,-0.77
95-14-7,c12ccccc1[nH]nn2,-0.78
123-30-8,Nc1ccc(O)cc1,-0.8
615-77-0,O=C(NC1=O)N(C=C1)C,-0.8
623-37-0,OC(CC)CCC,-0.8
80-62-6,C=C(C)C(OC)=O,-0.8
3124-46-7,CC(C)(C)COC(=O)N,-0.8
105-53-3,O=C(OCC)CC(OCC)=O,-0.82
110-00-9,c1ccco1,-0.82
623-42-7,CCCC(OC)=O,-0.82
539-86-6,C=CCS(SCC=C)=O,-0.83
1629-60-3,C=CC(CCC)=O,-0.83
59-67-6,O=C(O)c1cnccc1,-0.84
110-62-3,CCCCC=O,-0.85
684-93-5,CN(N=O)C(N)=O,-0.85
109-92-2,CCOC=C,-0.85
108-44-1,Cc1cc(N)ccc1,-0.85
597-49-9,CCC(O)(CC)CC,-0.85
138-52-3,OC(C(C(C(CO)O2)O)O)C2Oc1ccccc1CO,-0.85
90-02-8,O=Cc1c(O)cccc1,-0.86
1125-84-4,Clc1nc(ncnc2)c2nc1,-0.87
589-91-3,CC(CC1)CCC1O,-0.88
1540-35-8,CC(C(C(C)=O)CCC)=O,-0.88
74-97-5,ClCBr,-0.89
103-82-2,OC(Cc1ccccc1)=O,-0.89
591-07-1,CC(NC(N)=O)=O,-0.9
204443-27-6,COc1nc(ncnc2)c2nc1,-0.91
98-85-1,CC(c1ccccc1)O,-0.92
625-06-9,CC(C)(O)CC(C)C,-0.92
123-25-1,O=C(CCC(OCC)=O)OCC,-0.96
16529-66-1,CC=CCC#N,-0.96
55-21-0,NC(c1ccccc1)=O,-0.96
123-08-0,Oc1ccc(C=O)cc1,-0.96
58-08-2,O=C(N(C)c2c1n(C)cn2)N(C)C1=O,-0.97
122-80-5,CC(Nc1ccc(N)cc1)=O,-0.98
106-51-4,O=C(C=C1)C=CC1=O,-0.99
628-28-4,CCCCOC,-0.99
74-88-4,CI,-1
597-96-6,CCC(C)(O)CCC,-1
542-55-2,O=COCC(C)C,-1.01
103-90-2,O=C(Nc(cc1)ccc1O)C,-1.03
496-15-1,c12ccccc1NCC2,-1.04
51-21-8,O=C(NC=C1F)NC1=O,-1.07
625-23-0,CC(C)(O)CCCC,-1.08
106-41-2,Brc1ccc(O)cc1,-1.09
74-96-4,CCBr,-1.09
108-20-3,CC(C)OC(C)C,-1.1
122-59-8,O=C(O)COc1ccccc1,-1.1
102170-44-5,COc2ncc1nccnc1n2,-1.11
30564-38-6,COc2c1nccnc1ncn2,-1.11
51-67-2,NCCc1ccc(O)cc1,-1.12
66-81-9,OC(C(CC(C)CC1C)C1=O)CC(CC2=O)CC(N2)=O,-1.13
626-89-1,CC(C)CCCO,-1.14
71-30-7,NC1=NC(NC=C1)=O,-1.14
273-53-0,c12c(cccc2)nco1,-1.16
8/9/19,S(=O)(CCCl)CCCl,-1.16
97-95-0,CCC(CO)CC,-1.17
67-66-3,ClC(Cl)(Cl),-1.17
105-67-9,Oc1ccc(C)cc1C,-1.19
100-52-7,O=C(c1ccccc1),-1.19
589-18-4,OCc1ccc(C)cc1,-1.2
5826-73-3,O=C(OC)C(C2C(OC)=O)C1CC2C=C1,-1.2
106-63-8,O=C(C=C)OCC(C)C,-1.21
18559-94-9,CC(C)(NCC(c1cc(CO)c(O)cc1)O)C,-1.22
600-36-2,CC(C)C(O)C(C)C,-1.22
73-22-3,O=C(O)C(N)Cc1c[nH]c2c1cccc2,-1.23
144-80-9,O=S(NC(C)=O)(c1ccc(N)cc1)=O,-1.23
123-86-4,CC(OCCCC)=O,-1.24
111-27-3,CCCCCCO,-1.24
50-71-5,O=C(C(N1)=O)C(NC1=O)=O,-1.25
5/5/94,CC(C)(C)C(C)(O)CC,-1.27
98-86-2,CC(c1ccccc1)=O,-1.28
99-03-6,CC(c1cc(N)ccc1)=O,-1.28
105-54-4,CCCC(OCC)=O,-1.28
75-34-3,CC(Cl)Cl,-1.29
51-66-1,CC(Nc1ccc(OC)cc1)=O,-1.3
91-22-5,c1(cccn2)c2cccc1,-1.3
66-25-1,CCCCCC=O,-1.3
107-04-0,BrCCCl,-1.32
103-84-4,CC(Nc1ccccc1)=O,-1.33
110-12-3,CC(CCC(C)C)=O,-1.33
90-00-6,CCc(cccc1)c1O,-1.36
624-24-8,CCCCC(OC)=O,-1.36
556-88-7,N=C(N)NN(=O)=O,-1.37
108-42-9,Clc1cc(N)ccc1,-1.37
122-97-4,OCCCc1ccccc1,-1.38
627-59-8,CC(O)CCC(C)C,-1.38
57-44-3,O=C(C(CC)(CC)C(N1)=O)NC1=O,-1.39
108-68-9,Cc1cc(C)cc(O)c1,-1.4
59-46-1,O=C(c(cc1)ccc1N)OCCN(CC)CC,-1.4
533-17-5,CC(Nc(cccc1)c1Cl)=O,-1.4
589-55-9,CCCC(O)CCC,-1.4
501-52-0,O=C(O)CCc1ccccc1,-1.41
110-43-0,CC(CCCCC)=O,-1.42
366-18-7,c1(c2ncccc2)ccccn1,-1.42
526-75-0,Cc(c(O)ccc1)c1C,-1.43
111-92-2,CCCCNCCCC,-1.44
110-02-1,c1cccs1,-1.45
119-65-3,c1(ccnc2)c2cccc1,-1.45
88-13-1,O=C(O)c1cscc1,-1.47
540-54-5,ClCCC,-1.47
79-00-5,ClC(Cl)CCl,-1.48
123-11-5,O=Cc1ccc(OC)cc1,-1.49
471-03-4,S(=O)(=O)(CCCl)CCCl,-1.5
352-97-6,O=C(O)CNC(N)=N,-1.51
120-72-9,c1(cccc2)c2[nH]cc1,-1.52
12/9/70,OCC(C)(C)CCC,-1.52
118-92-3,OC(c1ccccc1N)=O,-1.52
76-57-3,OC(C=C4)C2C5(C4C(N(C)CC5)C3)c1c3ccc(OC)c1O2,-1.52
100-46-9,NCc1ccccc1,-1.53
553-26-4,c1(c2ccncc2)ccncc1,-1.54
95-87-4,Oc1cc(C)ccc1C,-1.54
3121-79-7,OCCCC(C)(C)C,-1.55
65-85-0,OC(c1ccccc1)=O,-1.55
96-88-8,CN1CCCCC1C(Nc2c(C)cccc2C)=O,-1.55
204443-30-1,CSc1nc(ncnc2)c2nc1,-1.55
120-83-2,Clc(cc(Cl)cc1)c1O,-1.55
543-49-7,CCCCCC(O)C,-1.55
14090-87-0,CCCCC(=O)CC(=O)C,-1.56
97-53-0,Oc1c(OC)cc(CC=C)cc1,-1.56
708-79-2,CN2C(NC(N1)=C(C2=O)NC1=O)=O,-1.56
59-50-7,Cc(cc(O)cc1)c1Cl,-1.57
6988-21-2,CNC(Oc1c(C2OCCO2)cccc1)=O,-1.57
122-85-0,CC(Nc(cc1)ccc1C=O)=O,-1.58
619-45-4,O=C(c1ccc(N)cc1)OC,-1.59
96-09-3,C1(c2ccccc2)CO1,-1.6
78-87-5,CC(Cl)CCl,-1.6
3002-23-1,O=C(CC(C)=O)CC(C)C,-1.6
57837-19-1,Cc1c(N(C(C(OC)=O)C)C(COC)=O)c(C)ccc1,-1.6
433-97-6,FC(F)(F)c1c(C(O)=O)cccc1,-1.6
6305-71-1,OCC(C)CC(C)C,-1.6
101-42-8,O=C(Nc1ccccc1)N(C)C,-1.6
121-61-9,NS(=O)(c(cc1)ccc1NC(C)=O)=O,-1.61
22862-76-6,OC(C2OC(C)=O)CNC2Cc1ccc(OC)cc1,-1.61
39196-18-4,CNC(ON=C(C(C)(C)C)CSC)=O,-1.62
37764-25-3,O=C(N(CC=C)CC=C)C(Cl)Cl,-1.62
142-28-9,ClCCCCl,-1.62
111-43-3,CCCOCCC,-1.62
120-57-0,O=Cc1cc(OCO2)c2cc1,-1.63
71-43-2,c1ccccc1,-1.64
75-35-4,C=C(Cl)Cl,-1.64
81-07-2,O=S(c1ccccc1C2=O)(N2)=O,-1.64
470-82-6,CC2(CC1)CCC1C(O2)(C)C,-1.64
77-28-1,O=C(N1)NC(C(CCCC)(CC)C1=O)=O,-1.64
106-47-8,Clc1ccc(N)cc1,-1.66
57-53-4,CC(COC(N)=O)(CCC)COC(N)=O,-1.67
622-45-7,CC(OC1CCCCC1)=O,-1.67
121-92-6,O=N(=O)c1cc(C(O)=O)ccc1,-1.68
106-93-4,BrCCBr,-1.68
1918-00-9,O=C(O)c1c(OC)c(Cl)ccc1Cl,-1.7
103-69-5,CCNc1ccccc1,-1.7
111-71-7,CCCCCCC=O,-1.7
151-67-7,FC(F)(F)C(Cl)Br,-1.71
77-02-1,O=C(N1)NC(C(C(C)C)(CC=C)C1=O)=O,-1.71
625-25-2,CC(O)(C)CCCCC,-1.72
31367-46-1,CC(O)C(C)CCCC,-1.72
106-34-3,O=C1C=CC(c2cc(ccc2O)O)(C=C1)O,-1.73
106-94-5,BrCCC,-1.73
88-75-5,Oc1ccccc1N(=O)=O,-1.74
79-34-5,ClC(Cl)C(Cl)Cl,-1.74
70-55-3,NS(=O)(c1ccc(C)cc1)=O,-1.74
539-82-2,CCCCC(OCC)=O,-1.75
16878-77-6,CSc2ncc1nccnc1n2,-1.76
65-45-2,NC(c(cccc1)c1O)=O,-1.76
137-58-6,Cc1c(NC(CN(CC)CC)=O)c(C)ccc1,-1.76
110-44-1,CC=CC=CC(O)=O,-1.77
103-85-5,NC(Nc1ccccc1)=S,-1.77
141-84-4,O=C(CS1)NC1=S,-1.77
99-76-3,Oc1ccc(C(OC)=O)cc1,-1.78
121-79-9,O=C(OCCC)c1cc(O)c(O)c(O)c1,-1.78
351-83-7,CC(Nc(cc1)ccc1F)=O,-1.78
98-95-3,O=N(=O)c1ccccc1,-1.8
1129-41-5,O=C(NC)Oc1cc(C)ccc1,-1.8
462-06-6,Fc1ccccc1,-1.8
111-70-6,CCCCCCCO,-1.81
69-72-7,Oc1ccccc1C(O)=O,-1.82
93-55-0,O=C(c1ccccc1)CC,-1.83
554-57-4,CC(N=C1SC(S(N)(=O)=O)=NN1C)=O,-1.83
77-06-5,CC15C(O)C=CC2(OC5=O)C1C(C(O)=O)C3(CC4=C)C2CCC4(O)C3,-1.84
142-96-1,CCCCOCCCC,-1.85
100-66-3,COc1ccccc1,-1.85
99-66-1,O=C(O)C(CCC)CCC,-1.86
467-98-1,O=C(C=C3)CC(C34CC2)(CCN4C)c1c2ccc(OC)c1O,-1.87
591-24-2,O=C1CC(C)CCC1,-1.87
90-39-1,C12CCCCN1CC(C(CCCC4)N4C3)CC23,-1.89
628-63-7,O=C(OCCCCC)C,-1.89
57-42-1,O=C(OCC)C1(c2ccccc2)CCN(C)CC1,-1.89
569-31-3,COc1c(C2=O)c(CO2)ccc1OC,-1.89
123-99-9,O=C(O)CCCCCCCC(O)=O,-1.89
124-48-1,ClC(Br)(Br),-1.9
75-25-2,C(Br)(Br)Br,-1.91
101-31-5,CN1C2CCC1CC(OC(C(CO)c3ccccc3)=O)C2,-1.91
2623-33-8,CC(Nc(cc1)ccc1OC(C)=O)=O,-1.91
105-66-8,CCCC(OCCC)=O,-1.92
519-05-1,O=C(c(c(C=O)ccc1OC)c1OC)O,-1.92
2114-20-7,NC(OCCCCCC)=O,-1.92
121-69-7,CN(C)c1ccccc1,-1.92
620-71-3,O=C(CC)Nc1ccccc1,-1.92
123-92-2,CC(OCCC(C)C)=O,-1.92
65-86-1,O=C(C(NC1=O)=CC(N1)=O)O,-1.93
27134-24-3,OC(c1ccccc1)C(c2ccccc2)O,-1.93
94-19-9,O=S(c1ccc(N)cc1)(Nc2nnc(CC)s2)=O,-1.94
93-37-8,Cc(cc2)cc1c2ccc(C)n1,-1.94
23103-98-2,CN(C)c1nc(C)c(C)c(OC(N(C)C)=O)n1,-1.95
91-23-6,COc(cccc1)c1N(=O)=O,-1.96
104-98-3,O=C(O)C=Cc1c[nH]cn1,-1.96
78-86-4,CC(Cl)CC,-1.96
88-74-4,Nc1ccccc1N(=O)=O,-1.96
628-41-1,C1=CCC=CC1,-1.97
1125-78-6,Oc(cc2)cc1c2CCCC1,-1.99
71-55-6,CC(Cl)(Cl)Cl,-2
88-19-7,Cc1ccccc1S(N)(=O)=O,-2.02
109-69-3,ClCCCC,-2.03
111-13-7,CC(CCCCCC)=O,-2.05
114-26-1,O=C(NC)Oc(cccc1)c1OC(C)C,-2.05
968-81-0,O=S(c1ccc(C(C)=O)cc1)(NC(NC2CCCCC2)=O)=O,-2.06
492-38-6,C=C(C(O)=O)c1ccccc1,-2.06
2244-16-8,CC1=CCC(C(C)=C)CC1=O,-2.06
118-90-1,O=C(c(cccc1)c1C)O,-2.06
486-64-6,c1ccc2C(O)N3CCC(O)C3=Nc2c1,-2.07
87-51-4,OC(Cc1c[nH]c2c1cccc2)=O,-2.07
499-75-2,CC(c1cc(O)c(C)cc1)C,-2.08
537-92-8,CC(Nc1cc(C)ccc1)=O,-2.09
87-47-8,O=C(N(C)C)Oc1cc(C)nn1c2ccccc2,-2.09
75-30-9,CC(I)C,-2.09
591-93-5,C=CCC=C,-2.09
123-96-6,CC(O)CCCCCC,-2.09
357-57-3,O=C(C5)N(C4C2(CC7)C(N7C6)CC3C6=CCOC5C34)c1c2cc(OC)c(OC)c1,-2.09
15258-73-8,OCc(c(Cl)ccc1)c1Cl,-2.1
104-76-7,OCC(CC)CCCC,-2.11
88-99-3,OC(c1ccccc1C(O)=O)=O,-2.11
51-55-8,CN1C2CCC1CC(OC(C(CO)c3ccccc3)=O)C2,-2.12
108-98-5,Sc1ccccc1,-2.12
73-24-5,Nc1ncnc2c1nc[nH]2,-2.12
533-74-4,CN(CN(C)CS1)C1=S,-2.13
99-04-7,O=C(c1cc(C)ccc1)O,-2.14
59-31-4,c1ccc2C=CC(=O)Nc2c1,-2.14
30979-48-7,O=C1NCCN1C(NCC(C)C)=O,-2.15
544-25-2,C1=CC=CC=CC1,-2.15
614-61-9,O=C(O)COc(cccc1)c1Cl,-2.16
580-16-5,Oc(cc2)cc1c2nccc1,-2.16
52-31-3,O=C(N1)NC(C(C2=CCCCC2)(CC)C1=O)=O,-2.17
150-69-6,NC(Nc1ccc(OCC)cc1)=O,-2.17
115-43-5,O=C(N1)NC(C(c2ccccc2)(CC=C)C1=O)=O,-2.18
339-43-5,O=S(NC(NCCCC)=O)(c(cc1)ccc1N)=O,-2.18
630-20-6,ClC(Cl)(Cl)CCl,-2.18
5/1/36,O=N(c1ccc(C=NO)o1)=O,-2.19
99-09-2,Nc1cccc(N(=O)=O)c1,-2.19
76-76-6,O=C(N1)NC(C(C(C)C)(CC)C1=O)=O,-2.21
108-88-3,Cc1ccccc1,-2.21
76-93-7,OC(c1ccccc1)(c2ccccc2)C(O)=O,-2.21
90-15-3,Oc2cccc1ccccc12,-2.22
89-83-8,Cc1cc(O)c(C(C)C)cc1,-2.22
76466-16-5,OC(C(C)Oc1ccccc1Cl)=O,-2.22
55-63-0,O=N(OCC(ON(=O)=O)CON(=O)=O)=O,-2.22
50-11-3,O=C(N1C)NC(C(CC)(CC)C1=O)=O,-2.23
94-74-6,O=C(O)COc(ccc(Cl)c1)c1C,-2.23
5221-53-4,CCCCc(c(O)nc(N(C)C)n1)c1C,-2.24
515-64-0,Cc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1,-2.24
614-80-2,CC(Nc(cccc1)c1O)=O,-2.24
