CAS,SMILES,Solubility
141-90-2,S=C(NC=C1)NC1=O,-2.26
135-19-3,Oc2cc1ccccc1cc2,-2.28
#28176-10-5,O=C(NC1=O)C(N(=O)=O)C(N1)=O,-2.28
107-08-4,ICCC,-2.29
124-07-2,CCCCCCCC(O)=O,-2.3
115-90-2,S=P(OCC)(OCC)Oc1ccc(S(C)=O)cc1,-2.3
2367-82-0,Fc1c(F)c(F)cc(F)c1,-2.31
56-23-5,ClC(Cl)(Cl)Cl,-2.31
93-89-0,O=C(OCC)c1ccccc1,-2.32
507-70-0,CC1(C)C2CCC1(C)C(O)C2,-2.32
526-08-9,Nc1ccc(S(=O)(Nc2ccnn2c3ccccc3)=O)cc1,-2.32
94-12-2,O=C(c(cc1)ccc1N)OCCC,-2.33
537-47-3,O=C(NN)Nc1ccccc1,-2.33
119-36-8,Oc1c(cccc1)C(OC)=O,-2.34
88-06-2,Oc(c(Cl)cc(Cl)c1)c1Cl,-2.34
77-21-4,CCC(CCC2=O)(c1ccccc1)C(N2)=O,-2.34
579-66-8,Nc1c(CC)cccc1CC,-2.35
84-66-2,O=C(OCC)c1ccccc1C(OCC)=O,-2.35
120-47-8,O=C(c1ccc(O)cc1)OCC,-2.35
124-13-0,CCCCCCCC=O,-2.36
693-02-7,C#CCCCC,-2.36
2163-69-1,O=C(NC1CCCCCCC1)N(C)C,-2.36
6966-78-5,CSc2c1nccnc1ncn2,-2.36
16878-76-5,S=C2N=CC1=C(N2)N=CC=N1,-2.36
62-44-2,CCOc1ccc(NC(C)=O)cc1,-2.37
109-65-9,CCCCBr,-2.37
108-90-7,Clc1ccccc1,-2.38
96-12-8,BrC(CCl)CBr,-2.38
91-15-6,N#Cc1ccccc1C#N,-2.38
315-30-0,Oc1c(cn[nH]2)c2ncn1,-2.38
100-44-7,ClCc1ccccc1,-2.39
90-43-7,Oc(cccc2)c2c1ccccc1,-2.39
100-68-5,CSc1ccccc1,-2.39
541-33-3,ClC(Cl)CCC,-2.4
121-98-2,O=C(c(cc1)ccc1OC)OC,-2.41
144-82-1,Cc1nnc(NS(=O)(c2ccc(N)cc2)=O)s1,-2.41
100-17-4,O=N(c1ccc(OC)cc1)=O,-2.41
83-34-1,Cc1c[nH]c2c1cccc2,-2.42
78-77-3,CC(C)CBr,-2.43
56-04-2,S=C(NC(C)=C1)NC1=O,-2.43
72-14-0,Nc1ccc(S(Nc2nccs2)(=O)=O)cc1,-2.43
5259-88-1,O=C(C(S(=O)(CCO2)=O)=C2C)Nc1ccccc1,-2.43
99-08-1,O=N(c1cc(C)ccc1)=O,-2.44
729-99-7,O=S(c1ccc(N)cc1)(Nc2nc(C)c(C)o2)=O,-2.44
636-26-0,n(cc(c(n1)O)C)c1S,-2.45
120-36-5,CC(C(O)=O)Oc(ccc(Cl)c1)c1Cl,-2.45
133-90-4,O=C(O)c1c(Cl)c(N)cc(Cl)c1,-2.47
5902-51-2,O=C(N1C(C)(C)C)C(Cl)=C(C)NC1=O,-2.48
621-82-9,OC(C=Cc1ccccc1)=O,-2.48
1918-16-7,O=C(CCl)N(C(C)C)c1ccccc1,-2.48
94-75-7,Clc1c(OCC(O)=O)ccc(Cl)c1,-2.51
127-33-3,O=C2c1c(O)ccc(Cl)c1C(O)C3C2=C(O)C(C(C(C(N)=O)=C(O)C4N(C)C)=O)(O)C4C3,-2.52
76-74-4,CC(C(C(NC1=O)=O)(C(N1)=O)CC)CCC,-2.52
2460-49-3,COc1c(O)cc(Cl)c(Cl)c1,-2.53
646-04-8,CC=CCC,-2.54
352-11-4,ClCc(cc1)ccc1F,-2.54
578-67-6,Oc1c(cccn2)c2ccc1,-2.54
3772-76-7,COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1,-2.54
93-65-2,Clc1cc(C)c(OC(C)C(O)=O)cc1,-2.55
24691-76-7,CC1=C(C(Nc2ccccc2)=O)CCCO1,-2.56
57-43-2,O=C(N1)NC(C(CCC(C)C)(CC)C1=O)=O,-2.57
651-06-9,COc1cnc(NS(=O)(c2ccc(cc2)N)=O)nc1,-2.58
821-55-6,CC(CCCCCCC)=O,-2.58
110-83-8,C1=CCCCC1,-2.59
535-80-8,OC(c1cc(Cl)ccc1)=O,-2.59
872-55-9,CCc1cccs1,-2.59
91-75-8,C1(CN(c3ccccc3)Cc2ccccc2)=NCCN1,-2.6
76-01-7,C(Cl)(Cl)C(Cl)(Cl)Cl,-2.6
12771-68-5,COc1ccc(C(C2CC2)(c3cncnc3)O)cc1,-2.6
5/6/13,OC(CN1C(Sc2c1c(Cl)ccc2)=O)=O,-2.61
723-46-6,O=S(Nc1noc(C)c1)(c2ccc(N)cc2)=O,-2.62
4248-20-8,NC(OCCCCCCC)=O,-2.62
58-93-5,O=S(c1c2cc(Cl)c(S(N)(=O)=O)c1)(NCN2)=O,-2.62
87-33-2,C12C(ON(=O)=O)COC1C(ON(=O)=O)CO2,-2.63
70-69-9,O=C(c1ccc(N)cc1)CC,-2.63
625-29-6,CC(Cl)CCC,-2.63
287-92-3,C1CCCC1,-2.64
91-81-6,CN(CCN(c2ncccc2)Cc1ccccc1)C,-2.64
91-80-5,CN(C)CCN(c2ccccn2)Cc1cccs1,-2.64
86-87-3,OC(Cc2cccc1ccccc12)=O,-2.65
25057-89-0,CC(C)N2C(c1ccccc1NS2(=O)=O)=O,-2.68
592-42-7,C=CCCC=C,-2.68
109-67-1,C=CCCC,-2.68
230-46-6,c12c(cccn3)c3ccc1cccn2,-2.68
104-04-1,CC(Nc1ccc(N(=O)=O)cc1)=O,-2.69
507-45-9,ClC(C(C)(Cl)C)C,-2.69
7581-97-7,CC(Cl)C(Cl)C,-2.7
92-87-5,Nc(cc2)ccc2c1ccc(N)cc1,-2.7
2432-99-7,O=C(O)CCCCCCCCCCN,-2.7
106-30-9,CCCCCCC(OCC)=O,-2.71
94-23-5,c1cc(OCC)ccc1C(=O)OCCN(CC)CC,-2.71
94-26-8,Oc1ccc(C(OCCCC)=O)cc1,-2.72
88-67-5,OC(c1ccccc1I)=O,-2.73
51218-45-2,O=C(N(c1c(C)cccc1CC)C(C)COC)CCl,-2.73
543-59-9,CCCCCCl,-2.73
56-29-1,O=C(N1C)NC(C(C2=CCCCC2)(C)C1=O)=O,-2.74
112-05-0,CCCCCCCCC(O)=O,-2.75
2/1/18,O=C(c(nc(Cl)c(Cl)c1N)c1Cl)O,-2.75
130-95-0,C(C2)(C=C)C1CC(C(O)c3ccnc4c3cc(OC)cc4)N2CC1,-2.76
65882-61-3,S=C2C1=C(N=CN2)N=CC=N1,-2.77
229-87-8,c12c(cccc3)c3ncc1cccc2,-2.78
88-04-0,Clc(c(C)cc(O)c1)c1C,-2.8
95-47-6,Cc1c(C)cccc1,-2.8
22994-85-0,O=C(NCc2ccccc2)Cn1c(N(=O)=O)ncc1,-2.81
20354-26-1,CN2C(ON(C2=O)c1ccc(c(Cl)c1)Cl)=O,-2.82
108-38-3,Cc1cc(C)ccc1,-2.82
12/7/60,OC4C13C(C5N(C(O)C6CC)C(C4C6C5)C3)N(C)c2c1cccc2,-2.82
80-08-0,O=S(c1ccc(N)cc1)(c2ccc(N)cc2)=O,-2.82
539-03-7,CC(Nc1ccc(Cl)cc1)=O,-2.84
127-79-7,Cc1nc(NS(=O)(c2ccc(cc2)N)=O)ncc1,-2.85
738-70-5,Nc1ncc(Cc2cc(OC)c(OC)c(OC)c2)c(N)n1,-2.86
66-02-4,O=C(O)C(N)Cc1cc(I)c(O)c(I)c1,-2.86
564-25-0,O=C(C(C4=O)=C(O)C(N(C)C)C3C(O)C2C(C)c1c(C(C2=C(O)C34O)=O)c(O)ccc1)N,-2.87
1698-60-8,O=C1C(Cl)=C(N)C=NN1c2ccccc2,-2.87
57-62-5,CN(C2C1CC4C(C(c3c(C4(O)C)c(Cl)ccc3O)=O)=C(C1(C(C(C(N)=O)=C2O)=O)O)O)C,-2.88
150-68-5,O=C(N(C)C)Nc1ccc(Cl)cc1,-2.89
107-82-4,CC(C)CCBr,-2.89
127-69-5,O=S(Nc(onc2C)c2C)(c1ccc(N)cc1)=O,-2.91
83-56-7,Oc1c(cccc2O)c2ccc1,-2.92
140-67-0,C=CCc1ccc(OC)cc1,-2.92
88-96-0,NC(c(cccc1)c1C(N)=O)=O,-2.92
4849-32-5,O=C(N(C)C)Nc1cc(OC(NC(C)(C)C)=O)ccc1,-2.93
437-50-3,O=C2c1c(O)cc(OC)cc1Oc(cc3)c2cc3O,-2.93
542-69-8,CCCCI,-2.96
122-11-2,COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(OC)n1,-2.96
957-51-7,O=C(N(C)C)C(c2ccccc2)c1ccccc1,-2.98
103-36-6,O=C(OCC)C=Cc1ccccc1,-3
709-98-8,O=C(CC)Nc1cc(Cl)c(Cl)cc1,-3
509-86-4,O=C(N1)NC(C(C2=CCCCCC2)(CC)C1=O)=O,-3
143-08-8,CCCCCCCCCO,-3.01
28805-78-9,O=C(NC1C2C3CCCC3C(C1)C2)N(C)C,-3.01
628-71-7,C#CCCCCC,-3.01
23947-60-6,CCCCc1c(O)nc(NCC)nc1C,-3.02
91-66-7,CCN(c1ccccc1)CC,-3.03
53648-05-8,O=C([NH]O)C(c1ccc(CC(C)C)cc1)C,-3.04
834-12-8,CC(C)Nc1nc(NCC)nc(SC)n1,-3.04
58-94-6,O=S(c1c2cc(Cl)c(S(N)(=O)=O)c1)(NC=N2)=O,-3.05
3149-00-6,O=S(c1ccccc1)(NC(NCCCC)=O)=O,-3.05
95-50-1,Clc1c(Cl)cccc1,-3.05
485-71-2,OC(c2c(cccc4)c4ncc2)C1N(CC3)CC(C=C)C3C1,-3.07
110-53-2,BrCCCCC,-3.07
480-16-0,Oc(cc(O)cc3)c3C2=C(O)C(c1c(O)cc(O)cc1O2)=O,-3.08
118-10-5,OC(C3N4CC(C=C)C(CC4)C3)c1ccnc2c1cccc2,-3.09
481-06-1,CC1(CCC2C3C)C=CC(C(C)=C1C2OC3=O)=O,-3.09
622-96-8,CCc1ccc(C)cc1,-3.11
53-06-5,O=C1CCC2(C)C(CCC3C2C(CC4(C)C3CCC4(O)C(CO)=O)=O)=C1,-3.11
544-10-5,ClCCCCCC,-3.12
60-54-8,Oc1cccc3c1C(C2=C(O)C(C(C(C(N)=O)=C(O)C4N(C)C)=O)(O)C4CC2C3(O)C)=O,-3.12
102-82-9,CCCCN(CCCC)CCCC,-3.12
76-14-2,ClC(F)(F)C(F)(F)Cl,-3.12
131-17-9,O=C(c(cccc1)c1C(OCC=C)=O)OCC=C,-3.13
104-46-1,CC=Cc1ccc(OC)cc1,-3.13
352-34-1,Fc1ccc(I)cc1,-3.13
79-57-2,OC(C2(C(C(O)=C1C(N)=O)N(C)C))(C(O)=C(C3=O)C(C2O)(C(C)(O)c4c3c(O)ccc4))C1=O,-3.14
558-13-4,BrC(Br)(Br)Br,-3.14
128-62-1,COc1c(C(C4c(ccc(OC)c5OC)c5C(O4)=O)N(C)CC3)c3cc2c1OCO2,-3.14
5234-68-4,O=C(C(SCCO2)=C2C)Nc1ccccc1,-3.14
21725-46-2,Clc1nc(NC(C)(C)C#N)nc(NCC)n1,-3.15
102-07-8,O=C(Nc2ccccc2)Nc1ccccc1,-3.15
118-55-8,O=C(c(cccc2)c2O)Oc1ccccc1,-3.15
364-62-5,CCN(CCNC(c1c(OC)cc(N)c(Cl)c1)=O)CC,-3.18
149-30-4,Sc2nc1ccccc1s2,-3.18
109-66-0,CCCCC,-3.18
526-73-8,Cc(c(C)ccc1)c1C,-3.2
108-37-2,Brc1cc(Cl)ccc1,-3.21
611-14-3,CCc(cccc1)c1C,-3.21
117-34-0,O=C(O)C(c2ccccc2)c1ccccc1,-3.22
590-27-2,IC=CI,-3.22
592-41-6,C=CCCCC,-3.23
95-76-1,Clc(cc(N)cc1)c1Cl,-3.24
53780-34-0,CC(Nc1c(C)cc(C)c(NS(=O)(C(F)(F)F)=O)c1)=O,-3.24
622-50-4,CC(Nc(cc1)ccc1I)=O,-3.25
15972-60-8,O=C(N(c1c(CC)cccc1CC)COC)CCl,-3.26
13110-37-7,O=C(c(cc1)ccc1N)OCCCCC,-3.26
7286-84-2,COC(c1c(Cl)c(N)cc(Cl)c1)=O,-3.26
2188-67-2,O=C(OCCNCCCCC)c(cc1)ccc1N,-3.27
618-51-9,O=C(c1cc(I)ccc1)O,-3.27
591-49-1,CC1=CCCCC1,-3.27
98-82-8,CC(C)c1ccccc1,-3.27
80-35-3,COc1nnc(NS(=O)(c2ccc(cc2)N)=O)cc1,-3.28
63-25-2,O=C(NC)Oc1c(cccc2)c2ccc1,-3.28
96-37-7,CC1CCCC1,-3.3
24691-80-3,Cc1c(C(Nc2ccccc2)=O)cco1,-3.3
133-91-5,O=C(c(cc1I)c(c(I)c1)O)O,-3.31
74-11-3,O=C(c1ccc(Cl)cc1)O,-3.31
693-54-9,CC(CCCCCCCC)=O,-3.31
95-63-6,Cc(cc(C)cc1)c1C,-3.31
57-24-9,O=C(C5)N(C4C2(CC7)C(N7C6)CC3C6=CCOC5C34)c1c2cccc1,-3.32
1689-84-5,Brc1cc(C#N)cc(Br)c1O,-3.33
5131-24-8,CCOP(OCC)(N2C(c1ccccc1C2=O)=O)=S,-3.35
85-02-9,c12c(cccn3)c3ccc1cccc2,-3.36
76-75-5,S=C(N1)NC(C(C(C)CCC)(CC)C1=O)=O,-3.36
81-25-4,OC4CCC3(C)C2CC(O)C1(C)C(C(C)CCC(O)=O)CCC1C2C(O)CC3C4,-3.37
389-08-2,CCN(C=C1C(O)=O)c(nc(C)cc2)c2C1=O,-3.37
56-54-2,C1(CN2CCC1CC2(C(c3ccnc4c3cc(cc4)OC)(O)))C=C,-3.37
103-65-1,CCCc1ccccc1,-3.37
76674-21-0,OC(c2ccc(F)cc2)(c3c(F)cccc3)Cn1cncn1,-3.37
111-11-5,CCCCCCCC(OC)=O,-3.39
95-06-7,S=C(SCC(Cl)=C)N(CC)CC,-3.39
64-77-7,O=C(NS(c1ccc(C)cc1)(=O)=O)NCCCC,-3.39
1668-19-5,CN(C)CCC=C1c3c(cccc3)OCc2c1cccc2,-3.4
112-38-9,O=C(O)CCCCCCCCC=C,-3.4
108-67-8,Cc1cc(C)cc(C)c1,-3.4
26225-79-6,CCOC2Oc1ccc(cc1C2(C)C)OS(C)(=O)=O,-3.42
127-31-1,O=C1CCC2(C)C(CCC3C2(F)C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1,-3.43
2164-17-2,O=C(Nc1cc(C(F)(F)F)ccc1)N(C)C,-3.43
334-48-5,CCCCCCCCCC(O)=O,-3.44
77-27-0,S=C(N1)NC(C(C(C)CCC)(CC=C)C1=O)=O,-3.46
382-45-6,CC(C(CC2)=CC1=O)(CC1)C(C(C3)=O)C2C(CCC4=O)C34C,-3.48
136-60-7,O=C(c1ccccc1)OCCCC,-3.48
92-69-3,Oc1ccc(c2ccccc2)cc1,-3.48
583-53-9,Brc(cccc1)c1Br,-3.5
68-35-9,O=S(Nc1ncccn1)(c2ccc(N)cc2)=O,-3.51
122-39-4,c1(Nc2ccccc2)ccccc1,-3.51
291-64-5,C1CCCCCC1,-3.52
330-55-2,O=C(Nc1cc(Cl)c(Cl)cc1)N(C)OC,-3.52
591-17-3,Cc1cc(Br)ccc1,-3.52
95-49-8,Cc(cccc1)c1Cl,-3.52
86-57-7,O=N(c1c(cccc2)c2ccc1)=O,-3.54
75-83-2,CC(C)(C)CC,-3.55
15299-99-7,O=C(N(CC)CC)C(Oc1cccc2c1cccc2)C,-3.57
80-74-0,O=S(N(C(C)=O)c1c(C)c(C)no1)(c(cc2)ccc2N)=O,-3.59
73-48-3,O=S2(c1cc(S(N)(=O)=O)c(C(F)(F)F)cc1NC(Cc3ccccc3)N2)=O,-3.59
120-82-1,Clc1c(Cl)cc(Cl)cc1,-3.59
87-17-2,O=C(c(cccc2)c2O)Nc1ccccc1,-3.59
91-20-3,c12ccccc1cccc2,-3.6
846-49-1,Clc(cccc1)c1C(c(cc(Cl)cc3)c3NC2=O)=NC2O,-3.6
1689-83-4,Oc1c(I)cc(C#N)cc1I,-3.61
43121-43-3,O=C(C(C)(C)C)C(n2cncn2)Oc1ccc(Cl)cc1,-3.61
112-30-1,CCCCCCCCCCO,-3.63
106-39-8,Brc1ccc(Cl)cc1,-3.63
50-02-2,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(C)C4(O)C(CO)=O)=C1,-3.64
474-25-9,CC(CCC(O)=O)C3CCC4C2C(O)CC1CC(O)CCC1(C)C2CCC34C,-3.64
50-47-5,CNCCCN1c3c(cccc3)CCc2c1cccc2,-3.66
629-05-0,C#CCCCCCC,-3.66
67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
94-82-6,Clc1c(ccc(Cl)c1)OCCCC(O)=O,-3.67
83-88-5,Cc1cc2c(N=C(C(N3)=O)C(N2CC(O)C(O)C(O)CO)=NC3=O)cc1C,-3.68
1156-19-0,O=S(NC(NN2CCCCCC2)=O)(c1ccc(C)cc1)=O,-3.68
124-94-7,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(O)C4(O)C(CO)=O)=C1,-3.69
63-05-8,CC12C(CCC(C3(CCC4=O))C2CCC34C)=CC(CC1)=O,-3.69
22071-15-4,O=C(c2ccccc2)c1cccc(C(C(O)=O)C)c1,-3.7
116-44-9,O=S(Nc1cnccn1)(c(cc2)ccc2N)=O,-3.7
56030-54-7,O=C(CC)N(c2ccccc2)C1(COC)CCN(CCc3cccs3)CC1,-3.71
129-20-4,O=C(C1CCCC)N(c2ccc(O)cc2)N(c3ccccc3)C1=O,-3.73
107-83-5,CC(C)CCC,-3.74
105-05-5,CCc1ccc(CC)cc1,-3.75
86-30-6,O=NN(c2ccccc2)c1ccccc1,-3.75
14437-17-3,O=C(OC)C(Cl)Cc1ccc(Cl)cc1,-3.77
91-57-6,Cc1cc(cccc2)c2cc1,-3.77
17560-51-9,CC2Nc1cc(Cl)c(S(N)(=O)=O)cc1C(N2c3ccccc3C)=O,-3.78
14293-44-8,Cc1cccc(C)c1NC(c2cc(S(N)(=O)=O)c(cc2O)Cl)=O,-3.79
2011-67-8,O=C2CN=C(c3ccccc3)c1cc(N(=O)=O)ccc1N2C,-3.8
452-35-7,CCOc2ccc1nc(S(N)(=O)=O)sc1c2,-3.81
50-33-9,O=C(C1CCCC)N(c2ccccc2)N(c3ccccc3)C1=O,-3.81
111-25-1,BrCCCCCC,-3.81
83-49-8,C12CC(O)CCC1(C)C3C(C(CCC4C(CCC(O)=O)C)C4(C)CC3)CC2O,-3.82
#3772-43-8,c1cc(OCCCC)ccc1C(=O)OCCN(CC)CC,-3.84
135-98-8,CC(CC)c1ccccc1,-3.89
90-13-1,Clc1c(cccc2)c2ccc1,-3.93
13476-55-6,CCCCCCOC(c1ccc(N)cc1)=O,-3.95
97-23-4,Oc1c(cc(Cl)cc1)Cc(cc(Cl)cc2)c2O,-3.95
208-96-8,c12cccc(C=C3)c1c3ccc2,-3.96
53-16-7,CC34CCC2c1c(CCC2C3CCC4=O)cc(O)cc1,-3.96
5/3/48,Cc1c(ccc3c2nccc3C)c2ncc1,-3.97
2622-26-6,OC4CCN(CC4)CCCN2c1ccccc1Sc3c2cc(C#N)cc3,-3.98
15687-27-1,CC(Cc(cc1)ccc1C(C)C(O)=O)C,-3.99
886-50-0,CC(C)(C)Nc1nc(SC)nc(NCC)n1,-4
5989-27-5,CC1=CCC(C(C)=C)CC1,-4
2539-17-5,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1OC,-4.02
27314-13-2,O=C1C(Cl)=C(NC)C=NN1c2cc(C(F)(F)F)ccc2,-4.04
1912-26-1,CCNc1nc(N(CC)CC)nc(Cl)n1,-4.06
2303-16-4,O=C(SCC(Cl)=CCl)N(C(C)C)C(C)C,-4.08
28911-01-5,Clc1cc(C(c4ccccc4Cl)=NCc3nnc(C)n23)c2cc1,-4.08
110-38-3,CCCCCCCCCC(OCC)=O,-4.1
426-13-1,C34C2CC(C)C1=CC(C=CC1(C)C2(F)C(O)CC3(C)C(C(C)=O)(O)CC4)=O,-4.1
1982-49-6,O=C(Nc1ccccc1)NC(CCCC2)C2C,-4.11
83-26-1,O=C(C(C1=O)C(c2ccccc12)=O)C(C)(C)C,-4.11
538-93-2,CC(C)Cc1ccccc1,-4.12
53-43-0,CC(C3=CC2)(CCC(O)C3)C1C2C(CCC4=O)C4(C)CC1,-4.12
571-58-4,Cc1c(cccc2)c2c(C)cc1,-4.14
91-58-7,Clc2cc1ccccc1cc2,-4.14
2049-95-8,CC(C)(c1ccccc1)CC,-4.15
69-23-8,OCCN(CC4)CCN4CCCN1c3c(ccc(C(F)(F)F)c3)Sc2c1cccc2,-4.15
14214-32-5,COc1ccc(Oc2ccc(cc2)NC(N(C)C)=O)cc1,-4.16
22204-53-1,COc1ccc2c(ccc(C(C)C(O)=O)c2)c1,-4.16
41483-43-6,CCCCc1c(OS(=O)(N(C)C)=O)nc(NCC)nc1C,-4.16
58-39-9,Clc4cc1c(cc4)Sc3c(cccc3)N1CCCN2CCN(CCO)CC2,-4.16
481-29-8,CC(C3CC2)(CCC(O)C3)C1C2C(CCC4=O)C4(C)CC1,-4.16
1127-76-0,CCc1c(cccc2)c2ccc1,-4.17
101-81-5,c1(Cc2ccccc2)ccccc1,-4.17
2536-31-4,OC1(C(OC)=O)c3c(ccc(Cl)c3)c2c1cccc2,-4.18
50-49-7,CN(C)CCCN1c3c(cccc3)CCc2c1cccc2,-4.19
23184-66-9,O=C(CCl)N(c(c(CC)ccc1)c1CC)COCCCC,-4.19
26644-46-2,ClC(Cl)(Cl)C(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)NC=O,-4.19
741-58-2,CC(OP(OC(C)C)(SCCNS(=O)(c1ccccc1)=O)=S)C,-4.2
664-95-9,O=S(NC(NC2CCCCC2)=O)(c(cc1)ccc1C)=O,-4.21
15310-01-7,O=C(c(cccc2)c2I)Nc1ccccc1,-4.21
60-99-1,CC(CN(C)C)CN1c(cc3OC)c(cc3)Sc2c1cccc2,-4.22
578-06-3,Nc1c(cc2ccccc2n3)c3ccc1,-4.22
298-04-4,S=P(OCC)(OCC)SCCSCC,-4.23
2655-19-8,O=C(Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)NC,-4.24
1194-65-6,N#Cc(c(Cl)ccc1)c1Cl,-4.24
9/3/52,C#CCCCCCCC,-4.24
1678-91-7,CCC1CCCCC1,-4.25
108-08-7,CC(C)CC(C)C,-4.26
1/4/07,CC1C(C)CCCC1,-4.27
